,M10,M11,M12,M12m,M12o,M12t,M13m,M13o,M13t,M3,M3m,M3o,M3t,M4,M4m,M4o,M4perSec,M4t,M5,M5m,M5o,M5t,M6,M6m,M6o,M6t,M7,M8,M9,V10t,country,experimentNumber,orderNumber,training,type,userId,M1,M18,M19,M2,M20,M21,M22,M23,M24,M25,M26,M29,M2country,M30,M30country,country,experimentNumber,orderNumber,training,type,userId,M14,M15,M15m,M15o,M15t,M16,M16m,M16o,M16t,M17,country,experimentNumber,orderNumber,training,type,userId
0,0,47.832,35.136,0.0,7.356,27.78,0.0,0.20935792349726773,0.7906420765027322,0.27666141732283467,0.0,0.45975,0.25027027027027027,127,0,16,2.6551262752968725,111,195.86629983935975,0.0,181.11874834322765,177.04483955323056,0.10076190476190476,0.0,0.051,0.1036470588235294,0,0.0,,4,0,125,24,False,e,15FM24,0.5,1,1,0.25,1,1,1,1,19,11,9,4,,0.25,,0,125,24,False,e,15FM24,1699,1,0,1,0,49597,171,48924,502,2239.671619791983,0,125,24,False,e,15FM24
1,12,280.572,217.356,15.936,22.044,179.376,0.07331750676309833,0.10141887042455695,0.8252636228123448,0.20256849953401676,0.22765714285714286,0.1985945945945946,0.20109417040358746,1073,70,111,3.82433029667964,892,157.54247822031564,102.1114117448629,88.31090913327165,151.51070432339827,0.05897014925373134,0.04992,0.054000000000000006,0.05742243436754176,21,1.05,541.6131868178621,13,3,126,24,False,e,15FM24,1.0,2,1,0.25,1,3,1,1,19,11,9,4,0.25,0.25,0.25,3,126,24,False,e,15FM24,16073,1,0,1,0,282589,0,53137,229452,5999.6963577710585,3,126,24,False,e,15FM24
2,5,120.252,91.824,1.908,14.7,75.216,0.02077888133821223,0.16008886565603764,0.8191322530057501,0.2160564705882353,0.1908,0.294,0.2060712328767123,425,10,50,3.534244752686026,365,203.60838165820743,43.79291392172905,266.76039748501137,178.98351905725417,0.06704716981132075,0.03,0.07056,0.06435714285714285,8,2.0,627.670006669025,4,0,123,24,False,c,15FM24,0.5,1,1,0.5,1,4,1,1,14,12,9,3,,0.125,,0,123,24,False,c,15FM24,2021,1,0,1,0,125074,0,27119,97955,5165.991805559268,0,123,24,False,c,15FM24
3,13,286.536,220.632,9.408,22.944,188.28,0.04264113999782443,0.10399216795387795,0.8533666920482976,0.19966696832579187,0.21879069767441858,0.22275728155339805,0.19632950990615225,1105,43,103,3.8564089678085827,959,164.08105929009974,95.72297412193767,113.84240557257233,152.27642318954508,0.05969565217391304,0.04591304347826087,0.0522,0.057393013100436686,22,1.1,575.0713242807807,9,4,124,24,False,c,15FM24,0.75,4,1,0.5,4,4,1,1,14,12,9,3,0.5,0.125,0.125,4,124,24,False,c,15FM24,10035,3,0,1,2,289551,50,16641,272860,8162.465533913212,4,124,24,False,c,15FM24
4,7,23.652,18.996,6.66,7.968,4.368,0.3506001263423879,0.41945672773215414,0.22994314592545803,0.23745,0.2561538461538462,0.21535135135135136,0.25694117647058823,80,26,37,3.3823778116015557,17,215.28208375014336,110.76580478808008,132.05034067648896,240.90180919923392,0.05893670886075949,0.0516923076923077,0.05127272727272727,0.05639999999999999,13,3.25,523.865324978201,4,0,129,24,False,s,15FM24,0.5,1,1,0.5,1,1,1,1,4,16,19,1,,0.375,,0,129,24,False,s,15FM24,3914,1,0,0,1,-1474041058073,136,-1474041064902,6693,5225.228176373065,0,129,24,False,s,15FM24
5,19,327.636,245.184,19.116,39.06,187.008,0.07796593578700078,0.1593089271730619,0.7627251370399374,0.2113655172413793,0.2655,0.2158011049723757,0.20618302094818083,1160,72,181,3.5405144733789937,907,166.0173690292592,116.5022414803411,138.2384930345729,154.94323344217605,0.07114063848144953,0.066375,0.10737391304347826,0.06036491228070175,44,2.2,367.9325048957662,12,1,130,24,False,s,15FM24,0.875,6,1,0.5,2,3,3,1,4,16,19,1,0.5,0.375,0.375,1,130,24,False,s,15FM24,236674,0,0,0,0,-1474040880184,-1474041169363,212948,76231,11077.388050386511,1,130,24,False,s,15FM24
6,0,17.436,14.208,0.0,1.452,12.756,0.0,0.10219594594594594,0.8978040540540541,0.22552380952380952,0.0,0.20742857142857143,0.22778571428571429,63,0,7,3.613214039917412,56,173.78113840501422,0.0,75.08817746544966,179.53586592905995,0.05206451612903226,0.0,0.042,0.051840000000000004,0,0.0,,4,0,127,24,False,n,15FM24,0.5,1,1,0.75,1,1,1,1,10,5,9,2,,0.5,,0,127,24,False,n,15FM24,2093,0,0,0,0,18039,0,700,17339,1955.4464549393645,0,127,24,False,n,15FM24
7,0,263.472,205.752,0.0,13.236,192.516,0.0,0.06432987285664295,0.935670127143357,0.20846200607902737,0.0,0.2100952380952381,0.20835064935064934,987,0,63,3.74612862087812,924,154.45943257708768,0.0,102.15719127476993,153.22854482723122,0.05853955375253549,0.0,0.04180645161290323,0.05853198653198653,0,0.0,,10,2,128,24,False,n,15FM24,0.875,5,1,0.75,1,2,2,1,10,5,9,2,0.75,0.5,0.5,2,128,24,False,n,15FM24,10721,2,0,0,2,-1474040351958,0,-1474040576914,224956,7792.194568502035,2,128,24,False,n,15FM24
8,2,14.364,11.496,0.804,1.584,9.108,0.06993736951983298,0.13778705636743216,0.7922755741127349,0.27371428571428574,0.268,0.3168,0.26788235294117646,42,3,5,2.9239766081871346,34,251.64342588602005,0.0,42.60371029117977,174.25733171320095,0.06995121951219511,0.0,0.036,0.06666666666666667,3,0.75,516.1875909612535,4,0,161,20,False,e,21MDC20,0.5,1,1,0.5,1,1,1,1,13,1,7,4,,0.5,,0,161,20,False,e,21MDC20,1118,1,0,0,1,12395,1675,3446,7274,4454.20125838522,0,161,20,False,e,21MDC20
9,15,500.352,405.204,9.696,43.524,351.984,0.02392868777208517,0.10741256256108034,0.8686587496668344,0.24047715133531158,0.23085714285714284,0.24180000000000001,0.2405905673274094,1685,42,180,3.3676291890509082,1463,129.87070240111382,84.90591407458807,116.55592612904337,116.90617957167416,0.056501187648456054,0.046285714285714284,0.049884297520661154,0.05555429382540809,24,1.2,531.9667265046439,10,2,162,20,False,e,21MDC20,0.625,3,3,0.5,1,3,3,1,13,1,7,4,0.5,0.5,0.5,2,162,20,False,e,21MDC20,51271,1,0,1,0,500619,64,201270,299285,14660.14817524433,2,162,20,False,e,21MDC20
10,5,54.432,43.668,3.12,5.988,34.56,0.07144820005496015,0.13712558395163507,0.7914262159934049,0.2347741935483871,0.24000000000000002,0.24950000000000003,0.23194630872483224,186,13,24,3.4171075837742504,149,183.3384348435099,56.22378433585976,54.07839470588474,145.8499233279591,0.05818378378378378,0.039,0.0852,0.050364963503649635,9,2.25,447.9300253130347,4,0,159,20,False,c,21MDC20,0.5,1,1,0.25,1,1,1,1,4,2,17,1,,0.375,,0,159,20,False,c,21MDC20,2533,0,0,0,0,54660,0,4473,50187,6329.638927894828,0,159,20,False,c,21MDC20
11,8,433.74,328.992,7.752,13.104,308.136,0.02356288298803618,0.039830755763058064,0.9366063612489057,0.22533698630136986,0.2349090909090909,0.1955820895522388,0.22657058823529413,1460,33,67,3.3660718402729746,1360,129.19719834613238,78.91685115310591,76.7336932954763,117.08286945050341,0.0717943797121316,0.0378,0.039,0.06646504559270516,13,0.65,453.62201338048243,12,3,160,20,False,c,21MDC20,0.75,3,3,0.25,1,4,3,1,4,2,17,1,0.25,0.375,0.375,3,160,20,False,c,21MDC20,284439,0,0,0,0,430214,0,30684,399530,7779.003238252201,3,160,20,False,c,21MDC20
12,2,98.7,78.78,1.08,7.98,69.72,0.01370906321401371,0.1012947448591013,0.884996191926885,0.23238938053097347,0.21600000000000003,0.2574193548387097,0.2300990099009901,339,5,31,3.4346504559270516,303,185.58842819570012,107.11684778699043,638.1887189354292,140.06918409351198,0.058934911242603555,0.048,0.07885714285714286,0.0553006993006993,3,0.75,1086.6458834474001,4,0,155,20,False,s,21MDC20,0.5,2,2,0.375,2,3,3,1,4,4,14,3,,0.25,,0,155,20,False,s,21MDC20,75935,1,0,0,1,-1474293280295,0,100182,-1474293380477,12364.18229226342,0,155,20,False,s,21MDC20
