,M10,M11,M12,M12m,M12o,M12t,M13m,M13o,M13t,M3,M3m,M3o,M3t,M4,M4m,M4o,M4perSec,M4t,M5,M5m,M5o,M5t,M6,M6m,M6o,M6t,M7,M8,M9,V10t,country,experimentNumber,orderNumber,training,type,userId
0,0,47.832,35.136,0.0,7.356,27.78,0.0,0.209357923497,0.790642076503,0.276661417323,0.0,0.45975,0.25027027027,127,0,16,2.6551262753,111,195.866299839,0.0,181.118748343,177.044839553,0.100761904762,0.0,0.051,0.103647058824,0,0.0,,4,0,125,24,False,e,15FM24
1,12,280.572,217.356,15.936,22.044,179.376,0.0733175067631,0.101418870425,0.825263622812,0.202568499534,0.227657142857,0.198594594595,0.201094170404,1073,70,111,3.82433029668,892,157.54247822,102.111411745,88.3109091333,151.510704323,0.0589701492537,0.04992,0.054,0.0574224343675,21,1.05,541.613186818,13,3,126,24,False,e,15FM24
2,5,120.252,91.824,1.908,14.7,75.216,0.0207788813382,0.160088865656,0.819132253006,0.216056470588,0.1908,0.294,0.206071232877,425,10,50,3.53424475269,365,203.608381658,43.7929139217,266.760397485,178.983519057,0.0670471698113,0.03,0.07056,0.0643571428571,8,2.0,627.670006669,4,0,123,24,False,c,15FM24
3,13,286.536,220.632,9.408,22.944,188.28,0.0426411399978,0.103992167954,0.853366692048,0.199666968326,0.218790697674,0.222757281553,0.196329509906,1105,43,103,3.85640896781,959,164.08105929,95.7229741219,113.842405573,152.27642319,0.0596956521739,0.0459130434783,0.0522,0.0573930131004,22,1.1,575.071324281,9,4,124,24,False,c,15FM24
4,7,23.652,18.996,6.66,7.968,4.368,0.350600126342,0.419456727732,0.229943145925,0.23745,0.256153846154,0.215351351351,0.256941176471,80,26,37,3.3823778116,17,215.28208375,110.765804788,132.050340676,240.901809199,0.0589367088608,0.0516923076923,0.0512727272727,0.0564,13,3.25,523.865324978,4,0,129,24,False,s,15FM24
5,19,327.636,245.184,19.116,39.06,187.008,0.077965935787,0.159308927173,0.76272513704,0.211365517241,0.2655,0.215801104972,0.206183020948,1160,72,181,3.54051447338,907,166.017369029,116.50224148,138.238493035,154.943233442,0.0711406384814,0.066375,0.107373913043,0.0603649122807,44,2.2,367.932504896,12,1,130,24,False,s,15FM24
6,0,17.436,14.208,0.0,1.452,12.756,0.0,0.102195945946,0.897804054054,0.225523809524,0.0,0.207428571429,0.227785714286,63,0,7,3.61321403992,56,173.781138405,0.0,75.0881774654,179.535865929,0.052064516129,0.0,0.042,0.05184,0,0.0,,4,0,127,24,False,n,15FM24
7,0,263.472,205.752,0.0,13.236,192.516,0.0,0.0643298728566,0.935670127143,0.208462006079,0.0,0.210095238095,0.208350649351,987,0,63,3.74612862088,924,154.459432577,0.0,102.157191275,153.228544827,0.0585395537525,0.0,0.0418064516129,0.058531986532,0,0.0,,10,2,128,24,False,n,15FM24
8,2,14.364,11.496,0.804,1.584,9.108,0.0699373695198,0.137787056367,0.792275574113,0.273714285714,0.268,0.3168,0.267882352941,42,3,5,2.92397660819,34,251.643425886,0.0,42.6037102912,174.257331713,0.0699512195122,0.0,0.036,0.0666666666667,3,0.75,516.187590961,4,0,161,20,False,e,21MDC20
9,15,500.352,405.204,9.696,43.524,351.984,0.0239286877721,0.107412562561,0.868658749667,0.240477151335,0.230857142857,0.2418,0.240590567327,1685,42,180,3.36762918905,1463,129.870702401,84.9059140746,116.555926129,116.906179572,0.0565011876485,0.0462857142857,0.0498842975207,0.0555542938254,24,1.2,531.966726505,10,2,162,20,False,e,21MDC20
10,5,54.432,43.668,3.12,5.988,34.56,0.071448200055,0.137125583952,0.791426215993,0.234774193548,0.24,0.2495,0.231946308725,186,13,24,3.41710758377,149,183.338434844,56.2237843359,54.0783947059,145.849923328,0.0581837837838,0.039,0.0852,0.0503649635036,9,2.25,447.930025313,4,0,159,20,False,c,21MDC20
11,8,433.74,328.992,7.752,13.104,308.136,0.023562882988,0.0398307557631,0.936606361249,0.225336986301,0.234909090909,0.195582089552,0.226570588235,1460,33,67,3.36607184027,1360,129.197198346,78.9168511531,76.7336932955,117.082869451,0.0717943797121,0.0378,0.039,0.0664650455927,13,0.65,453.62201338,12,3,160,20,False,c,21MDC20
12,2,98.7,78.78,1.08,7.98,69.72,0.013709063214,0.101294744859,0.884996191927,0.232389380531,0.216,0.257419354839,0.230099009901,339,5,31,3.43465045593,303,185.588428196,107.116847787,638.188718935,140.069184094,0.0589349112426,0.048,0.0788571428571,0.0553006993007,3,0.75,1086.64588345,4,0,155,20,False,s,21MDC20
13,11,379.812,307.656,2.736,13.212,291.708,0.00889304937983,0.0429440674,0.94816288322,0.223587209302,0.1824,0.200181818182,0.225257142857,1376,15,66,3.62284498647,1295,138.802393689,234.381425029,243.268796503,123.037044642,0.0524770909091,0.0685714285714,0.0577297297297,0.0513596214511,12,0.6,523.684317667,8,4,156,20,False,s,21MDC20
14,0,77.88,61.884,0.0,4.128,57.756,0.0,0.0667054489044,0.933294551096,0.226681318681,0.0,0.258,0.22473151751,273,0,16,3.50539291217,257,168.662163143,0.0,319.332162321,142.399407724,0.0588088235294,0.0,0.054,0.0575222672065,0,0.0,,4,0,157,20,False,n,21MDC20
15,0,418.86,334.464,0.0,3.888,330.576,0.0,0.0116245694604,0.98837543054,0.228928131417,0.0,0.204631578947,0.229248266297,1461,0,19,3.4880389629,1442,125.281150344,0.0,302.862387898,119.610996086,0.0578054794521,0.0,0.052,0.0575831578947,0,0.0,,11,1,158,20,False,n,21MDC20
16,2,59.25,44.11,0.41,1.55,42.15,0.00929494445704,0.0351394241669,0.955565631376,0.190952380952,0.205,0.19375,0.1907239819,231,2,8,3.89873417722,221,151.702424594,0.0,75.3598154117,143.082192504,0.0658260869565,0.0,0.0433333333333,0.065023255814,2,0.5,262.335881451,5,0,40,21,False,e,3MW2421
17,13,261.74,200.78,12.2,17.74,170.84,0.0607630242056,0.0883554138858,0.850881561909,0.205506653019,0.29756097561,0.199325842697,0.201700118064,977,41,89,3.73271185146,847,140.844687958,66.0765626006,84.3624035042,132.50096252,0.0624590163934,0.0377272727273,0.0422413793103,0.0577463054187,19,0.95,396.957872864,13,3,41,21,False,e,3MW2421
18,3,118.3,69.74,1.02,7.45,61.27,0.0146257527961,0.106825351305,0.878548895899,0.159588100686,0.0728571428571,0.140566037736,0.165594594595,437,14,53,3.69399830938,370,159.628599468,75.6818129385,159.375276895,138.203123831,0.111376146789,0.2125,0.129655172414,0.0844476744186,11,2.75,410.256611545,5,0,34,21,False,c,3MW2421
19,12,296.36,235.68,7.15,13.23,215.3,0.0303377460964,0.0561354378819,0.913526816022,0.209493333333,0.2234375,0.213387096774,0.208826382153,1125,32,62,3.79605884735,1031,150.408685057,56.6202625721,101.600044069,140.180090403,0.0539857651246,0.0372727272727,0.0430303030303,0.0512951807229,21,1.05,404.187779455,9,4,35,21,False,c,3MW2421
20,6,40.77,31.49,4.07,6.27,21.15,0.129247380121,0.199110828835,0.671641791045,0.203161290323,0.2035,0.19,0.207352941176,155,20,33,3.80181506009,102,147.762316978,209.40039588,131.443207086,129.522464307,0.0602597402597,0.057,0.0573684210526,0.0632978723404,12,3.0,364.798499081,4,0,38,21,False,s,3MW2421
21,16,352.33,275.67,7.23,30.63,237.81,0.0262270105561,0.111111111111,0.862661878333,0.217576953433,0.212647058824,0.225220588235,0.21678213309,1267,34,136,3.59606051145,1097,132.717455913,145.32317491,119.15304239,123.795337881,0.0605529225908,0.0530769230769,0.0691860465116,0.0563152896486,25,1.25,380.567872221,11,1,39,21,False,s,3MW2421
