,M14,M15,M15m,M15o,M15t,M16,M16m,M16o,M16t,M17,country,experimentNumber,orderNumber,training,type,userId
0,1699,1,0,1,0,49597,171,48924,502,2239.67161979,0,125,24,False,e,15FM24
1,16073,1,0,1,0,282589,0,53137,229452,5999.69635777,3,126,24,False,e,15FM24
2,2021,1,0,1,0,125074,0,27119,97955,5165.99180556,0,123,24,False,c,15FM24
3,10035,3,0,1,2,289551,50,16641,272860,8162.46553391,4,124,24,False,c,15FM24
4,3914,1,0,0,1,-1474041058073,136,-1474041064902,6693,5225.22817637,0,129,24,False,s,15FM24
5,236674,0,0,0,0,-1474040880184,-1474041169363,212948,76231,11077.3880504,1,130,24,False,s,15FM24
6,2093,0,0,0,0,18039,0,700,17339,1955.44645494,0,127,24,False,n,15FM24
7,10721,2,0,0,2,-1474040351958,0,-1474040576914,224956,7792.1945685,2,128,24,False,n,15FM24
8,1118,1,0,0,1,12395,1675,3446,7274,4454.20125839,0,161,20,False,e,21MDC20
9,51271,1,0,1,0,500619,64,201270,299285,14660.1481752,2,162,20,False,e,21MDC20
10,2533,0,0,0,0,54660,0,4473,50187,6329.63892789,0,159,20,False,c,21MDC20
11,284439,0,0,0,0,430214,0,30684,399530,7779.00323825,3,160,20,False,c,21MDC20
12,75935,1,0,0,1,-1474293280295,0,100182,-1474293380477,12364.1822923,0,155,20,False,s,21MDC20
13,300345,2,1,1,0,-1474293277375,-1474293656814,361231,18208,17734.7930825,4,156,20,False,s,21MDC20
14,48159,1,0,0,1,-1474294169546,0,72048,-1474294241594,11562.8139505,0,157,20,False,n,21MDC20
15,29360,1,0,0,1,-1474293989419,0,244359,-1474294233778,16672.6459181,1,158,20,False,n,21MDC20
16,1878,1,0,0,1,60760,0,687,60073,2168.84099741,0,40,21,False,e,3MW2421
17,6464,1,0,0,1,262437,0,109447,152990,6167.11594722,3,41,21,False,e,3MW2421
18,43946,0,0,0,0,119692,0,8302,111390,7062.8274002,0,34,21,False,c,3MW2421
19,10115,1,0,0,1,298543,0,6079,292464,6629.61018654,4,35,21,False,c,3MW2421
20,8104,1,1,0,0,44612,3990,39886,736,5029.26422572,0,38,21,False,s,3MW2421
21,25959,1,0,1,0,352588,512,350757,1319,11588.6195538,1,39,21,False,s,3MW2421
22,2784,1,0,0,1,38787,0,37271,1516,1980.03683178,0,36,21,False,n,3MW2421
23,10692,1,0,0,1,321055,0,291727,29328,5612.21817099,2,37,21,False,n,3MW2421
24,23014,0,0,0,0,102984,0,62302,40682,2405.39129549,0,198,22,False,e,22F
25,410744,1,0,0,1,890636,0,265724,624912,21802.6573531,3,199,22,False,e,22F
26,60862,3,0,0,3,214884,0,3174,211710,5414.75982768,0,194,22,False,c,22F
