userId,type,country,orderNumber,experimentNumber,training, x,y,blink,leftEye,rightEye,trackerTimestamp,timestamp,leftEyeX,leftEyeY,leftEyeZ,rightEyeX,rightEyeY,rightEyeZ,viewingText,screenWidth,screenHeight,contentType,content
10F,s,0,10,170,False,-33213,33703,0,0,0,1848342,0,0,0,0,0,0,0,1,818,3930,none,none
10F,s,0,10,170,False,-33213,33703,0,0,0,1848354,3,0,0,0,0,0,0,1,818,3930,none,none
10F,s,0,10,170,False,-33213,33703,0,0,0,1848366,3,0,0,0,0,0,0,1,818,3930,none,none
10F,s,0,10,170,False,-33213,33703,0,0,0,1848378,4,0,0,0,0,0,0,1,818,3930,none,none
10F,s,0,10,170,False,-33213,33703,0,0,0,1848390,17,0,0,0,0,0,0,1,818,3930,none,none
10F,s,0,10,170,False,-33213,33703,0,0,0,1848402,17,0,0,0,0,0,0,1,818,3930,none,none
10F,s,0,10,170,False,-33213,33703,0,0,0,1848414,22,0,0,0,0,0,0,1,818,3930,none,none
10F,s,0,10,170,False,-33213,33703,0,0,0,1848426,35,0,0,0,0,0,0,1,818,3930,none,none
10F,s,0,10,170,False,-33213,33703,0,0,0,1848438,46,0,0,0,0,0,0,1,818,3930,none,none
10F,s,0,10,170,False,-33213,33703,0,0,0,1848450,63,0,0,0,0,0,0,1,818,3930,none,none
10F,s,0,10,170,False,-33213,33703,0,0,0,1848462,70,0,0,0,0,0,0,1,818,3930,none,none
10F,s,0,10,170,False,-33213,33703,0,0,0,1848474,86,0,0,0,0,0,0,1,818,3930,none,none
10F,s,0,10,170,False,-33213,33703,0,0,0,1848486,94,0,0,0,0,0,0,1,818,3930,none,none
10F,s,0,10,170,False,-33213,33703,0,0,0,1848498,110,0,0,0,0,0,0,1,818,3930,none,none
10F,s,0,10,170,False,-33213,33703,0,0,0,1848510,132,0,0,0,0,0,0,1,818,3930,none,none
10F,s,0,10,170,False,-33213,33703,0,0,0,1848522,132,0,0,0,0,0,0,1,818,3930,none,none
10F,s,0,10,170,False,-33213,33703,0,0,0,1848534,142,0,0,0,0,0,0,1,818,3930,none,none
10F,s,0,10,170,False,-33213,33703,0,0,0,1848546,155,0,0,0,0,0,0,1,818,3930,none,none
10F,s,0,10,170,False,-33213,33703,0,0,0,1848558,166,0,0,0,0,0,0,1,818,3930,none,none
10F,s,0,10,170,False,-33213,33703,0,0,0,1848570,179,0,0,0,0,0,0,1,818,3930,none,none
10F,s,0,10,170,False,-33213,33703,0,0,0,1848582,193,0,0,0,0,0,0,1,818,3930,none,none
10F,s,0,10,170,False,-33213,33703,0,0,0,1848594,211,0,0,0,0,0,0,1,818,3930,none,none
10F,s,0,10,170,False,-33213,33703,0,0,0,1848606,214,0,0,0,0,0,0,1,818,3930,none,none
10F,s,0,10,170,False,-33213,33703,0,0,0,1848618,227,0,0,0,0,0,0,1,818,3930,none,none
10F,s,0,10,170,False,-33213,33703,0,0,0,1848630,241,0,0,0,0,0,0,1,818,3930,none,none
10F,s,0,10,170,False,-33213,33703,0,0,0,1848642,258,0,0,0,0,0,0,1,818,3930,none,none
10F,s,0,10,170,False,-33213,33703,0,0,0,1848654,262,0,0,0,0,0,0,1,818,3930,none,none
10F,s,0,10,170,False,-33213,33703,0,0,0,1848666,274,0,0,0,0,0,0,1,818,3930,none,none
10F,s,0,10,170,False,-33213,33703,0,0,0,1848678,291,0,0,0,0,0,0,1,818,3930,none,none
10F,s,0,10,170,False,-33213,33703,0,0,0,1848690,307,0,0,0,0,0,0,1,818,3930,none,none
10F,s,0,10,170,False,-33213,33703,0,0,0,1848702,310,0,0,0,0,0,0,1,818,3930,none,none
10F,s,0,10,170,False,-33213,33703,0,0,0,1848714,324,0,0,0,0,0,0,1,818,3930,none,none
10F,s,0,10,170,False,-33213,33703,0,0,0,1848726,341,0,0,0,0,0,0,1,818,3930,none,none
10F,s,0,10,170,False,-33213,33703,0,0,0,1848738,347,0,0,0,0,0,0,1,818,3930,none,none
10F,s,0,10,170,False,268,248,0,0,0,1848750,359,0,0,0,0,0,0,1,818,3930,text,para_1
10F,s,0,10,170,False,270,254,0,0,0,1848762,374,0,0,0,0,0,0,1,818,3930,text,para_1
10F,s,0,10,170,False,275,266,0,0,0,1848774,391,0,0,0,0,0,0,1,818,3930,text,para_1
10F,s,0,10,170,False,278,268,0,0,0,1848786,394,0,0,0,0,0,0,1,818,3930,text,para_1
10F,s,0,10,170,False,274,266,0,0,0,1848798,407,0,0,0,0,0,0,1,818,3930,text,para_1
10F,s,0,10,170,False,274,272,0,0,0,1848810,424,0,0,0,0,0,0,1,818,3930,text,para_1
10F,s,0,10,170,False,276,270,0,0,0,1848822,430,0,0,0,0,0,0,1,818,3930,text,para_1
10F,s,0,10,170,False,278,278,0,0,0,1848834,443,0,0,0,0,0,0,1,818,3930,text,para_1
10F,s,0,10,170,False,276,278,0,0,0,1848846,457,0,0,0,0,0,0,1,818,3930,text,para_1
10F,s,0,10,170,False,276,279,0,0,0,1848858,467,0,0,0,0,0,0,1,818,3930,text,para_1
10F,s,0,10,170,False,277,280,0,0,0,1848870,478,0,0,0,0,0,0,1,818,3930,text,para_1
10F,s,0,10,170,False,282,290,0,0,0,1848882,490,0,0,0,0,0,0,1,818,3930,text,para_1
10F,s,0,10,170,False,287,299,0,0,0,1848894,502,0,0,0,0,0,0,1,818,3930,text,para_1
10F,s,0,10,170,False,284,297,0,0,0,1848906,514,0,0,0,0,0,0,1,818,3930,text,para_1
10F,s,0,10,170,False,282,297,0,0,0,1848918,526,0,0,0,0,0,0,1,818,3930,text,para_1
10F,s,0,10,170,False,282,296,0,0,0,1848930,538,0,0,0,0,0,0,1,818,3930,text,para_1
10F,s,0,10,170,False,285,294,0,0,0,1848942,550,0,0,0,0,0,0,1,818,3930,text,para_1
10F,s,0,10,170,False,283,295,0,0,0,1848954,563,0,0,0,0,0,0,1,818,3930,text,para_1
10F,s,0,10,170,False,283,293,0,0,0,1848966,574,0,0,0,0,0,0,1,818,3930,text,para_1
10F,s,0,10,170,False,282,294,0,0,0,1848978,586,0,0,0,0,0,0,1,818,3930,text,para_1
10F,s,0,10,170,False,284,299,0,0,0,1848990,599,0,0,0,0,0,0,1,818,3930,text,para_1
10F,s,0,10,170,False,283,292,0,0,0,1849002,610,0,0,0,0,0,0,1,818,3930,text,para_1
10F,s,0,10,170,False,284,287,0,0,0,1849014,622,0,0,0,0,0,0,1,818,3930,text,para_1
10F,s,0,10,170,False,274,280,0,0,0,1849026,634,0,0,0,0,0,0,1,818,3930,text,para_1
10F,s,0,10,170,False,222,336,0,0,0,1849038,647,0,0,0,0,0,0,1,818,3930,none,none
10F,s,0,10,170,False,152,355,0,0,0,1849050,658,0,0,0,0,0,0,0,818,3930,none,none
10F,s,0,10,170,False,-33213,33703,0,0,0,1849062,670,0,0,0,0,0,0,1,818,3930,none,none
10F,s,0,10,170,False,-33213,33703,0,0,0,1849074,682,0,0,0,0,0,0,1,818,3930,none,none
10F,s,0,10,170,False,-33213,33703,0,0,0,1849086,694,0,0,0,0,0,0,1,818,3930,none,none
10F,s,0,10,170,False,-33213,33703,0,0,0,1849098,706,0,0,0,0,0,0,1,818,3930,none,none
10F,s,0,10,170,False,-33213,33703,0,0,0,1849110,718,0,0,0,0,0,0,1,818,3930,none,none
10F,s,0,10,170,False,-33213,33703,0,0,0,1849122,730,0,0,0,0,0,0,1,818,3930,none,none
10F,s,0,10,170,False,-33213,33703,0,0,0,1849134,743,0,0,0,0,0,0,1,818,3930,none,none
10F,s,0,10,170,False,-33213,33703,0,0,0,1849146,755,0,0,0,0,0,0,1,818,3930,none,none
10F,s,0,10,170,False,-33213,33703,0,0,0,1849158,766,0,0,0,0,0,0,1,818,3930,none,none
10F,s,0,10,170,False,-33213,33703,0,0,0,1849170,778,0,0,0,0,0,0,1,818,3930,none,none
10F,s,0,10,170,False,-33213,33703,0,0,0,1849182,790,0,0,0,0,0,0,1,818,3930,none,none
10F,s,0,10,170,False,-33213,33703,0,0,0,1849194,802,0,0,0,0,0,0,1,818,3930,none,none
10F,s,0,10,170,False,-33213,33703,0,0,0,1849206,814,0,0,0,0,0,0,1,818,3930,none,none
10F,s,0,10,170,False,-33213,33703,0,0,0,1849218,826,0,0,0,0,0,0,1,818,3930,none,none
10F,s,0,10,170,False,-33213,33703,0,0,0,1849230,838,0,0,0,0,0,0,1,818,3930,none,none
10F,s,0,10,170,False,-33213,33703,0,0,0,1849242,850,0,0,0,0,0,0,1,818,3930,none,none
10F,s,0,10,170,False,-33213,33703,0,0,0,1849254,862,0,0,0,0,0,0,1,818,3930,none,none
10F,s,0,10,170,False,-33213,33703,0,0,0,1849266,875,0,0,0,0,0,0,1,818,3930,none,none
10F,s,0,10,170,False,-33213,33703,0,0,0,1849278,886,0,0,0,0,0,0,1,818,3930,none,none
10F,s,0,10,170,False,-33213,33703,0,0,0,1849290,898,0,0,0,0,0,0,1,818,3930,none,none
