userId,type,country,orderNumber,experimentNumber,training, x,y,mouseClick,scrolling,inText,timestamp,contentType,content
10F,e,3,10,173,False,186,318,1,0,1,451,text,para_1
10F,e,3,10,173,False,623,399,0,0,1,1120,text,para_2
10F,e,3,10,173,False,623,399,0,0,1,1123,text,para_2
10F,e,3,10,173,False,623,398,0,0,1,3846,text,para_2
10F,e,3,10,173,False,624,398,0,0,1,3854,text,para_2
10F,e,3,10,173,False,628,391,0,0,1,3862,text,para_2
10F,e,3,10,173,False,632,382,0,0,1,3870,text,para_2
10F,e,3,10,173,False,637,372,0,0,1,3878,text,para_2
10F,e,3,10,173,False,642,364,0,0,1,3886,text,para_2
10F,e,3,10,173,False,647,352,0,0,1,3894,text,para_2
10F,e,3,10,173,False,652,341,0,0,1,3902,none,none
10F,e,3,10,173,False,660,329,0,0,1,3910,text,para_1
10F,e,3,10,173,False,666,318,0,0,1,3918,text,para_1
10F,e,3,10,173,False,676,304,0,0,1,3926,text,para_1
10F,e,3,10,173,False,686,288,0,0,1,3934,text,para_1
10F,e,3,10,173,False,696,274,0,0,1,3942,text,para_1
10F,e,3,10,173,False,707,261,0,0,1,3950,text,para_1
10F,e,3,10,173,False,719,244,0,0,1,3958,text,para_1
10F,e,3,10,173,False,734,228,0,0,1,3966,text,para_1
10F,e,3,10,173,False,746,216,0,0,1,3974,none,none
10F,e,3,10,173,False,760,200,0,0,1,3982,none,none
10F,e,3,10,173,False,774,185,0,0,1,3990,none,none
10F,e,3,10,173,False,788,170,0,0,0,3998,none,none
10F,e,3,10,173,False,802,154,0,0,0,4006,none,none
10F,e,3,10,173,False,816,139,0,0,0,4014,none,none
10F,e,3,10,173,False,831,121,0,0,0,4022,none,none
10F,e,3,10,173,False,857,91,0,0,0,4038,none,none
10F,e,3,10,173,False,867,76,0,0,0,4046,none,none
10F,e,3,10,173,False,878,62,0,0,0,4054,none,none
10F,e,3,10,173,False,887,50,0,0,0,4062,none,none
10F,e,3,10,173,False,894,40,0,0,0,4070,none,none
10F,e,3,10,173,False,900,32,0,0,0,4080,none,none
