userId,type,country,orderNumber,experimentNumber,training, x,y,mouseClick,scrolling,inText,timestamp,contentType,content
12F,c,3,12,191,False,587,605,0,0,1,135,none,none
12F,c,3,12,191,False,587,604,0,0,1,2271,none,none
12F,c,3,12,191,False,587,602,0,0,1,2280,none,none
12F,c,3,12,191,False,589,595,0,0,1,2289,none,none
12F,c,3,12,191,False,591,587,0,0,1,2295,none,none
12F,c,3,12,191,False,595,575,0,0,1,2305,text,para_2
12F,c,3,12,191,False,600,564,0,0,1,2310,text,para_2
12F,c,3,12,191,False,607,553,0,0,1,2326,text,para_2
12F,c,3,12,191,False,617,530,0,0,1,2338,text,para_2
12F,c,3,12,191,False,623,519,0,0,1,2343,text,para_2
12F,c,3,12,191,False,634,497,0,0,1,2363,text,para_2
12F,c,3,12,191,False,638,489,0,0,1,2367,text,para_2
12F,c,3,12,191,False,643,479,0,0,1,2378,text,para_2
12F,c,3,12,191,False,645,466,0,0,1,2389,text,para_2
12F,c,3,12,191,False,648,456,0,0,1,2393,text,para_2
12F,c,3,12,191,False,653,442,0,0,1,2404,text,para_2
12F,c,3,12,191,False,657,433,0,0,1,2407,text,para_2
12F,c,3,12,191,False,662,422,0,0,1,2421,text,para_2
12F,c,3,12,191,False,667,412,0,0,1,2424,text,para_2
12F,c,3,12,191,False,674,402,0,0,1,2439,text,para_2
12F,c,3,12,191,False,680,393,0,0,1,2441,text,para_2
12F,c,3,12,191,False,689,384,0,0,1,2454,text,para_2
12F,c,3,12,191,False,695,375,0,0,1,2457,text,para_2
12F,c,3,12,191,False,708,357,0,0,1,2472,text,para_2
12F,c,3,12,191,False,714,349,0,0,1,2478,none,none
12F,c,3,12,191,False,719,340,0,0,1,2487,none,none
12F,c,3,12,191,False,723,331,0,0,1,2495,none,none
12F,c,3,12,191,False,727,321,0,0,1,2503,text,para_1
12F,c,3,12,191,False,732,312,0,0,1,2511,text,para_1
12F,c,3,12,191,False,736,302,0,0,1,2524,text,para_1
12F,c,3,12,191,False,746,286,0,0,1,2538,none,none
12F,c,3,12,191,False,752,279,0,0,1,2543,none,none
12F,c,3,12,191,False,784,226,0,0,1,2599,none,none
12F,c,3,12,191,False,789,219,0,0,0,2600,none,none
12F,c,3,12,191,False,793,210,0,0,0,2609,none,none
12F,c,3,12,191,False,798,204,0,0,0,2613,none,none
12F,c,3,12,191,False,802,196,0,0,0,2622,none,none
12F,c,3,12,191,False,808,187,0,0,0,2636,none,none
12F,c,3,12,191,False,812,181,0,0,0,2637,none,none
12F,c,3,12,191,False,816,175,0,0,0,2645,none,none
12F,c,3,12,191,False,820,168,0,0,0,2653,none,none
12F,c,3,12,191,False,824,163,0,0,0,2661,none,none
12F,c,3,12,191,False,829,155,0,0,0,2669,none,none
12F,c,3,12,191,False,832,150,0,0,0,2677,media,map_02
