userId,type,country,orderNumber,experimentNumber,training, question,correctAnswer,userAnswer
14JG23,n,2,23,120,False,Mental Demand - How mentally demanding was the task? Very Low - Very High,,10
14JG23,n,2,23,120,False,Physical Demand - How physically demanding was the task? Very Low - Very High,,1
14JG23,n,2,23,120,False,Temporal Demand - How hurried or rushed was the pace of the task? Very Low - Very High,,1
14JG23,n,2,23,120,False,Performance - How successful were you in accomplishing what you were asked to do? Perfect - Failure),,15
14JG23,n,2,23,120,False,Effort - How hard did you have to work to accomplish your level of performance? Very Low - Very High,,9
14JG23,n,2,23,120,False,Frustration - How insecure discouraged irritated stressed and annoyed were you? Very Low - Very High,,6
14JG23,n,2,23,120,False,Which island or islands is Vanuatu furthest from?,Tasmania,Solomon Islands
14JG23,n,2,23,120,False,Which country claimed the Vanuatu islands first?,The Spanish,The Spanish
14JG23,n,2,23,120,False,In which island is the capital Port Vila?,Efate,Efate
14JG23,n,2,23,120,False,The temperature of the ocean around Vanuatu is approximately,Between 22 centigrade and 28 centigrade,between 18 and 22 centigrade
14JG23,n,2,23,120,False,Vanuatu's Prime Minister is chosen:,At least three-quarters quorum in the parliament,At least three-quarters quorum in the parliament
14JG23,n,2,23,120,False,Which in the following list does not belong to the top four mainstays of the economy?,Meat processing,Meat processing
14JG23,n,2,23,120,False,How many of the households in Vanuatu depend on subsistence fishing?,between 70% and 80%,between 80% and 90%
14JG23,n,2,23,120,False,Which of the following factors is not a main deterrent for the development of Vanuatu?,Unstable political situation,natural disaster vulnerability
14JG23,n,2,23,120,False,

