userId,type,country,orderNumber,experimentNumber,training, x,y,mouseClick,scrolling,inText,timestamp,contentType,content
20F,s,0,20,202,False,535,357,1,0,0,2213,none,none
20F,s,0,20,202,False,535,357,0,0,0,2229,none,none
20F,s,0,20,202,False,535,357,0,0,0,6028,none,none
20F,s,0,20,202,False,535,357,0,0,0,6045,none,none
20F,s,0,20,202,False,535,357,0,0,0,6063,none,none
20F,s,0,20,202,False,535,357,0,0,0,6083,none,none
20F,s,0,20,202,False,535,357,0,0,0,6099,none,none
20F,s,0,20,202,False,535,357,0,0,0,6114,none,none
20F,s,0,20,202,False,535,357,0,0,0,6133,none,none
20F,s,0,20,202,False,535,357,0,0,0,6151,none,none
20F,s,0,20,202,False,535,357,0,0,0,6167,none,none
20F,s,0,20,202,False,535,357,0,0,0,6183,none,none
20F,s,0,20,202,False,535,357,0,0,0,6201,none,none
20F,s,0,20,202,False,535,357,0,0,0,6218,none,none
20F,s,0,20,202,False,535,357,0,0,0,6233,none,none
20F,s,0,20,202,False,535,357,0,0,0,6249,none,none
20F,s,0,20,202,False,535,357,0,0,0,6267,none,none
20F,s,0,20,202,False,535,357,0,0,0,6283,none,none
20F,s,0,20,202,False,535,357,0,0,0,6301,none,none
20F,s,0,20,202,False,535,357,0,0,0,6317,none,none
20F,s,0,20,202,False,535,357,0,0,0,6335,none,none
20F,s,0,20,202,False,535,357,0,0,0,6351,none,none
20F,s,0,20,202,False,535,357,0,0,0,6369,none,none
20F,s,0,20,202,False,535,357,0,0,0,6385,none,none
20F,s,0,20,202,False,535,357,0,0,0,6402,none,none
20F,s,0,20,202,False,535,357,0,0,0,6419,none,none
20F,s,0,20,202,False,535,357,0,0,0,6436,none,none
20F,s,0,20,202,False,535,357,0,0,0,6454,none,none
20F,s,0,20,202,False,535,357,0,0,0,6470,none,none
20F,s,0,20,202,False,535,357,0,0,0,6488,none,none
20F,s,0,20,202,False,535,357,0,0,0,6504,none,none
20F,s,0,20,202,False,535,357,0,0,0,6521,none,none
20F,s,0,20,202,False,535,357,0,0,0,6538,none,none
20F,s,0,20,202,False,535,357,0,0,0,6556,none,none
20F,s,0,20,202,False,535,357,0,0,0,6572,none,none
20F,s,0,20,202,False,535,357,0,0,0,6589,none,none
20F,s,0,20,202,False,535,357,0,0,0,6607,none,none
20F,s,0,20,202,False,535,357,0,0,0,6640,none,none
20F,s,0,20,202,False,535,357,0,0,0,6658,none,none
20F,s,0,20,202,False,535,356,0,0,0,13403,none,none
20F,s,0,20,202,False,534,354,0,0,0,13419,none,none
20F,s,0,20,202,False,530,349,0,0,1,13427,none,none
20F,s,0,20,202,False,526,343,0,0,1,13435,none,none
20F,s,0,20,202,False,521,333,0,0,1,13443,none,none
20F,s,0,20,202,False,517,323,0,0,1,13451,text,para_1
20F,s,0,20,202,False,514,314,0,0,1,13459,text,para_1
20F,s,0,20,202,False,511,306,0,0,1,13467,text,para_1
20F,s,0,20,202,False,509,299,0,0,1,13475,text,para_1
20F,s,0,20,202,False,509,296,0,0,1,13483,text,para_1
20F,s,0,20,202,False,509,293,0,0,1,13491,text,para_1
20F,s,0,20,202,False,509,292,0,0,1,13499,text,para_1
20F,s,0,20,202,False,509,291,0,0,1,13515,text,para_1
20F,s,0,20,202,False,509,290,0,0,1,13531,text,para_1
20F,s,0,20,202,False,509,289,0,0,1,13547,text,para_1
