userId,type,country,orderNumber,experimentNumber,training, x,y,blink,leftEye,rightEye,trackerTimestamp,timestamp,leftEyeX,leftEyeY,leftEyeZ,rightEyeX,rightEyeY,rightEyeZ,viewingText,screenWidth,screenHeight,contentType,content
20F,n,1,20,205,False,553,136,0,0,0,2908364,0,0,0,0,0,0,0,1,1263,4527,text,para_1
20F,n,1,20,205,False,555,135,0,0,0,2908376,1,0,0,0,0,0,0,1,1263,4527,text,para_1
20F,n,1,20,205,False,554,135,0,0,0,2908388,2,0,0,0,0,0,0,1,1263,4527,text,para_1
20F,n,1,20,205,False,553,134,0,0,0,2908400,4,0,0,0,0,0,0,1,1263,4527,text,para_1
20F,n,1,20,205,False,554,134,0,0,0,2908412,16,0,0,0,0,0,0,1,1263,4527,text,para_1
20F,n,1,20,205,False,554,132,0,0,0,2908424,35,0,0,0,0,0,0,1,1263,4527,text,para_1
20F,n,1,20,205,False,552,131,0,0,0,2908436,40,0,0,0,0,0,0,1,1263,4527,text,para_1
20F,n,1,20,205,False,553,129,0,0,0,2908448,68,0,0,0,0,0,0,1,1263,4527,text,para_1
20F,n,1,20,205,False,552,128,0,0,0,2908460,68,0,0,0,0,0,0,1,1263,4527,text,para_1
20F,n,1,20,205,False,551,128,0,0,0,2908472,91,0,0,0,0,0,0,1,1263,4527,text,para_1
20F,n,1,20,205,False,551,128,0,0,0,2908484,91,0,0,0,0,0,0,1,1263,4527,text,para_1
20F,n,1,20,205,False,551,126,0,0,0,2908496,112,0,0,0,0,0,0,1,1263,4527,text,para_1
20F,n,1,20,205,False,550,125,0,0,0,2908508,113,0,0,0,0,0,0,1,1263,4527,text,para_1
20F,n,1,20,205,False,547,123,0,0,0,2908520,135,0,0,0,0,0,0,1,1263,4527,text,para_1
20F,n,1,20,205,False,547,122,0,0,0,2908532,136,0,0,0,0,0,0,1,1263,4527,text,para_1
20F,n,1,20,205,False,548,121,0,0,0,2908544,156,0,0,0,0,0,0,1,1263,4527,text,para_1
20F,n,1,20,205,False,547,122,0,0,0,2908556,177,0,0,0,0,0,0,1,1263,4527,text,para_1
20F,n,1,20,205,False,547,120,0,0,0,2908568,177,0,0,0,0,0,0,1,1263,4527,text,para_1
20F,n,1,20,205,False,548,121,0,0,0,2908580,198,0,0,0,0,0,0,1,1263,4527,text,para_1
20F,n,1,20,205,False,547,122,0,0,0,2908592,198,0,0,0,0,0,0,1,1263,4527,text,para_1
20F,n,1,20,205,False,546,123,0,0,0,2908604,219,0,0,0,0,0,0,1,1263,4527,text,para_1
20F,n,1,20,205,False,548,122,0,0,0,2908616,220,0,0,0,0,0,0,1,1263,4527,text,para_1
20F,n,1,20,205,False,548,124,0,0,0,2908628,239,0,0,0,0,0,0,1,1263,4527,text,para_1
20F,n,1,20,205,False,549,121,0,0,0,2908640,261,0,0,0,0,0,0,1,1263,4527,text,para_1
20F,n,1,20,205,False,549,122,0,0,0,2908652,261,0,0,0,0,0,0,1,1263,4527,text,para_1
20F,n,1,20,205,False,549,123,0,0,0,2908664,281,0,0,0,0,0,0,1,1263,4527,text,para_1
20F,n,1,20,205,False,504,122,0,0,0,2908676,281,0,0,0,0,0,0,1,1263,4527,text,para_1
20F,n,1,20,205,False,409,139,0,0,0,2908688,302,0,0,0,0,0,0,1,1263,4527,text,para_1
20F,n,1,20,205,False,365,142,0,0,0,2908700,304,0,0,0,0,0,0,1,1263,4527,text,para_1
20F,n,1,20,205,False,381,138,0,0,0,2908712,323,0,0,0,0,0,0,1,1263,4527,text,para_1
20F,n,1,20,205,False,371,139,0,0,0,2908724,343,0,0,0,0,0,0,1,1263,4527,text,para_1
20F,n,1,20,205,False,373,136,0,0,0,2908736,343,0,0,0,0,0,0,1,1263,4527,text,para_1
20F,n,1,20,205,False,374,134,0,0,0,2908748,364,0,0,0,0,0,0,1,1263,4527,text,para_1
20F,n,1,20,205,False,373,132,0,0,0,2908760,364,0,0,0,0,0,0,1,1263,4527,text,para_1
20F,n,1,20,205,False,373,131,0,0,0,2908772,385,0,0,0,0,0,0,1,1263,4527,text,para_1
20F,n,1,20,205,False,372,129,0,0,0,2908784,388,0,0,0,0,0,0,1,1263,4527,text,para_1
20F,n,1,20,205,False,367,67,0,0,0,2908796,405,0,0,0,0,0,0,1,1263,4527,text,para_1
20F,n,1,20,205,False,364,28,0,0,0,2908808,426,0,0,0,0,0,0,1,1263,4527,none,none
20F,n,1,20,205,False,363,34,0,0,0,2908820,427,0,0,0,0,0,0,1,1263,4527,none,none
20F,n,1,20,205,False,363,33,0,0,0,2908832,447,0,0,0,0,0,0,1,1263,4527,none,none
20F,n,1,20,205,False,362,33,0,0,0,2908844,448,0,0,0,0,0,0,1,1263,4527,none,none
20F,n,1,20,205,False,363,34,0,0,0,2908856,468,0,0,0,0,0,0,1,1263,4527,none,none
20F,n,1,20,205,False,365,35,0,0,0,2908868,475,0,0,0,0,0,0,1,1263,4527,none,none
20F,n,1,20,205,False,362,33,0,0,0,2908880,484,0,0,0,0,0,0,1,1263,4527,none,none
20F,n,1,20,205,False,362,33,0,0,0,2908892,496,0,0,0,0,0,0,1,1263,4527,none,none
20F,n,1,20,205,False,363,33,0,0,0,2908904,508,0,0,0,0,0,0,1,1263,4527,none,none
20F,n,1,20,205,False,363,32,0,0,0,2908916,520,0,0,0,0,0,0,1,1263,4527,none,none
20F,n,1,20,205,False,361,30,0,0,0,2908928,532,0,0,0,0,0,0,1,1263,4527,none,none
20F,n,1,20,205,False,360,28,0,0,0,2908940,544,0,0,0,0,0,0,1,1263,4527,none,none
20F,n,1,20,205,False,360,27,0,0,0,2908952,556,0,0,0,0,0,0,1,1263,4527,none,none
20F,n,1,20,205,False,360,27,0,0,0,2908964,568,0,0,0,0,0,0,1,1263,4527,none,none
20F,n,1,20,205,False,359,26,0,0,0,2908976,580,0,0,0,0,0,0,1,1263,4527,none,none
20F,n,1,20,205,False,361,26,0,0,0,2908988,592,0,0,0,0,0,0,1,1263,4527,none,none
20F,n,1,20,205,False,360,25,0,0,0,2909000,604,0,0,0,0,0,0,1,1263,4527,none,none
20F,n,1,20,205,False,361,26,0,0,0,2909012,616,0,0,0,0,0,0,1,1263,4527,none,none
20F,n,1,20,205,False,359,26,0,0,0,2909024,628,0,0,0,0,0,0,1,1263,4527,none,none
20F,n,1,20,205,False,361,26,0,0,0,2909036,640,0,0,0,0,0,0,1,1263,4527,none,none
20F,n,1,20,205,False,360,26,0,0,0,2909048,652,0,0,0,0,0,0,1,1263,4527,none,none
20F,n,1,20,205,False,359,35,0,0,0,2909060,664,0,0,0,0,0,0,1,1263,4527,none,none
20F,n,1,20,205,False,349,158,0,0,0,2909072,676,0,0,0,0,0,0,1,1263,4527,text,para_1
