userId,type,country,orderNumber,experimentNumber,training, x,y,mouseClick,scrolling,inText,timestamp,contentType,content
20F,n,1,20,205,False,492,451,0,0,1,3,text,para_2
20F,n,1,20,205,False,492,451,0,0,1,3408,text,para_2
20F,n,1,20,205,False,492,451,0,0,1,3425,text,para_2
20F,n,1,20,205,False,492,451,0,0,1,3442,text,para_2
20F,n,1,20,205,False,492,451,0,0,1,3460,text,para_2
20F,n,1,20,205,False,492,451,0,0,1,3479,text,para_2
20F,n,1,20,205,False,492,451,0,0,1,3493,text,para_2
20F,n,1,20,205,False,492,451,0,0,1,3510,text,para_2
20F,n,1,20,205,False,492,451,0,0,1,3527,text,para_2
20F,n,1,20,205,False,492,451,0,0,1,3547,text,para_2
20F,n,1,20,205,False,492,451,0,0,1,3561,text,para_2
20F,n,1,20,205,False,492,451,0,0,1,3582,text,para_2
20F,n,1,20,205,False,492,451,0,0,1,3599,text,para_2
20F,n,1,20,205,False,492,451,0,0,1,3615,text,para_2
20F,n,1,20,205,False,492,451,0,0,1,3629,text,para_2
20F,n,1,20,205,False,492,451,0,0,1,3646,text,para_2
20F,n,1,20,205,False,492,451,0,0,1,3663,text,para_2
20F,n,1,20,205,False,492,451,0,0,1,3682,text,para_2
20F,n,1,20,205,False,492,451,0,0,1,3698,text,para_2
20F,n,1,20,205,False,492,451,0,0,1,3714,text,para_2
20F,n,1,20,205,False,492,451,0,0,1,3731,text,para_2
20F,n,1,20,205,False,492,451,0,0,1,3749,text,para_2
20F,n,1,20,205,False,492,451,0,0,1,3766,text,para_2
20F,n,1,20,205,False,492,451,0,0,1,3783,text,para_2
20F,n,1,20,205,False,492,451,0,0,1,3800,text,para_2
20F,n,1,20,205,False,492,451,0,0,1,3817,text,para_2
20F,n,1,20,205,False,492,451,0,0,1,3834,text,para_2
20F,n,1,20,205,False,492,451,0,0,1,3851,text,para_2
20F,n,1,20,205,False,492,451,0,0,1,3867,text,para_2
20F,n,1,20,205,False,492,451,0,0,1,3885,text,para_2
20F,n,1,20,205,False,492,451,0,0,1,3902,text,para_2
20F,n,1,20,205,False,492,451,0,0,1,3918,text,para_2
20F,n,1,20,205,False,492,451,0,0,1,3936,text,para_2
20F,n,1,20,205,False,492,451,0,0,1,3952,text,para_2
20F,n,1,20,205,False,492,451,0,0,1,3969,text,para_2
20F,n,1,20,205,False,492,451,0,0,1,3987,text,para_2
20F,n,1,20,205,False,492,451,0,0,1,4020,text,para_2
20F,n,1,20,205,False,492,451,0,0,1,4038,text,para_2
20F,n,1,20,205,False,492,484,0,1,1,5334,text,para_2
20F,n,1,20,205,False,492,451,0,1,1,5965,text,para_2
20F,n,1,20,205,False,492,484,0,1,1,24735,text,para_2
20F,n,1,20,205,False,492,517,0,1,1,30655,text,para_2
20F,n,1,20,205,False,492,550,0,1,1,31016,text,para_2
20F,n,1,20,205,False,492,584,0,1,1,32773,text,para_2
20F,n,1,20,205,False,492,617,0,1,1,52392,text,para_2
20F,n,1,20,205,False,492,650,0,1,1,54849,text,para_2
20F,n,1,20,205,False,492,684,0,1,1,67047,text,para_2
20F,n,1,20,205,False,492,717,0,1,1,78457,text,para_2
20F,n,1,20,205,False,492,750,0,1,1,81830,text,para_2
20F,n,1,20,205,False,492,784,0,1,1,90954,text,para_2
20F,n,1,20,205,False,492,817,0,1,1,91359,text,para_2
20F,n,1,20,205,False,492,850,0,1,1,91695,text,para_2
20F,n,1,20,205,False,492,884,0,1,1,92159,text,para_2
20F,n,1,20,205,False,492,917,0,1,1,92854,text,para_2
20F,n,1,20,205,False,492,950,0,1,1,93470,none,none
20F,n,1,20,205,False,492,984,0,1,1,93820,text,para_3
20F,n,1,20,205,False,492,1017,0,1,1,94403,text,para_3
20F,n,1,20,205,False,492,1050,0,1,1,102800,text,para_3
20F,n,1,20,205,False,492,1084,0,1,1,105127,text,para_3
20F,n,1,20,205,False,492,1084,0,0,1,105223,text,para_3
20F,n,1,20,205,False,492,1084,0,0,1,105224,text,para_3
20F,n,1,20,205,False,492,1084,0,0,1,105224,text,para_3
20F,n,1,20,205,False,492,1084,0,0,1,105224,text,para_3
20F,n,1,20,205,False,492,1084,0,0,1,105225,text,para_3
20F,n,1,20,205,False,492,1084,0,0,1,105228,text,para_3
20F,n,1,20,205,False,492,1084,0,0,1,105231,text,para_3
20F,n,1,20,205,False,492,1084,0,0,1,106238,text,para_3
20F,n,1,20,205,False,492,1084,0,0,1,106238,text,para_3
20F,n,1,20,205,False,494,1087,0,0,1,111446,text,para_3
20F,n,1,20,205,False,495,1090,0,0,1,111454,text,para_3
20F,n,1,20,205,False,495,1094,0,0,1,111462,text,para_3
20F,n,1,20,205,False,497,1096,0,0,1,111470,text,para_3
20F,n,1,20,205,False,498,1099,0,0,1,111478,text,para_3
20F,n,1,20,205,False,498,1105,0,0,1,111486,text,para_3
20F,n,1,20,205,False,500,1108,0,0,1,111494,text,para_3
20F,n,1,20,205,False,501,1111,0,0,1,111502,text,para_3
20F,n,1,20,205,False,504,1115,0,0,1,111510,text,para_3
20F,n,1,20,205,False,505,1118,0,0,1,111518,text,para_3
20F,n,1,20,205,False,508,1122,0,0,1,111526,text,para_3
20F,n,1,20,205,False,509,1123,0,0,1,111534,text,para_3
20F,n,1,20,205,False,510,1126,0,0,1,111542,text,para_3
20F,n,1,20,205,False,511,1128,0,0,1,111550,text,para_3
20F,n,1,20,205,False,512,1128,0,0,1,111558,text,para_3
20F,n,1,20,205,False,513,1129,0,0,1,111566,text,para_3
20F,n,1,20,205,False,514,1130,0,0,1,111574,text,para_3
20F,n,1,20,205,False,514,1129,0,0,1,111830,text,para_3
20F,n,1,20,205,False,514,1128,0,0,1,111870,text,para_3
20F,n,1,20,205,False,514,1127,0,0,1,111910,text,para_3
20F,n,1,20,205,False,514,1126,0,0,1,111926,text,para_3
20F,n,1,20,205,False,514,1125,0,0,1,111934,text,para_3
20F,n,1,20,205,False,514,1124,0,0,1,111950,text,para_3
20F,n,1,20,205,False,514,1123,0,0,1,111966,text,para_3
20F,n,1,20,205,False,513,1122,0,0,1,111982,text,para_3
20F,n,1,20,205,False,513,1121,0,0,1,111990,text,para_3
20F,n,1,20,205,False,513,1120,0,0,1,112006,text,para_3
20F,n,1,20,205,False,513,1119,0,0,1,112014,text,para_3
20F,n,1,20,205,False,513,1118,0,0,1,112030,text,para_3
20F,n,1,20,205,False,513,1117,0,0,1,112062,text,para_3
20F,n,1,20,205,False,513,1116,0,0,1,112102,text,para_3
20F,n,1,20,205,False,513,1115,0,0,1,112158,text,para_3
20F,n,1,20,205,False,512,1115,0,0,1,112190,text,para_3
20F,n,1,20,205,False,512,1114,0,0,1,112198,text,para_3
20F,n,1,20,205,False,512,1113,0,0,1,112238,text,para_3
20F,n,1,20,205,False,512,1112,0,0,1,112254,text,para_3
20F,n,1,20,205,False,512,1111,0,0,1,112286,text,para_3
20F,n,1,20,205,False,511,1111,0,0,1,112302,text,para_3
20F,n,1,20,205,False,511,1110,0,0,1,112342,text,para_3
20F,n,1,20,205,False,511,1109,0,0,1,113678,text,para_3
20F,n,1,20,205,False,511,1108,0,0,1,113686,text,para_3
20F,n,1,20,205,False,511,1106,0,0,1,113694,text,para_3
20F,n,1,20,205,False,511,1103,0,0,1,113702,text,para_3
20F,n,1,20,205,False,511,1100,0,0,1,113710,text,para_3
20F,n,1,20,205,False,511,1097,0,0,1,113718,text,para_3
20F,n,1,20,205,False,511,1093,0,0,1,113726,text,para_3
20F,n,1,20,205,False,511,1087,0,0,1,113734,text,para_3
20F,n,1,20,205,False,511,1083,0,0,1,113742,text,para_3
20F,n,1,20,205,False,512,1079,0,0,1,113750,text,para_3
20F,n,1,20,205,False,512,1073,0,0,1,113758,text,para_3
20F,n,1,20,205,False,512,1069,0,0,1,113766,text,para_3
20F,n,1,20,205,False,512,1067,0,0,1,113774,text,para_3
20F,n,1,20,205,False,512,1066,0,0,1,113782,text,para_3
20F,n,1,20,205,False,512,1065,0,0,1,113790,text,para_3
20F,n,1,20,205,False,512,1064,0,0,1,113798,text,para_3
20F,n,1,20,205,False,512,1063,0,0,1,113830,text,para_3
20F,n,1,20,205,False,512,1062,0,0,1,113910,text,para_3
20F,n,1,20,205,False,512,1061,0,0,1,113926,text,para_3
20F,n,1,20,205,False,512,1060,0,0,1,113958,text,para_3
20F,n,1,20,205,False,512,1059,0,0,1,113974,text,para_3
20F,n,1,20,205,False,512,1057,0,0,1,113998,text,para_3
20F,n,1,20,205,False,512,1054,0,0,1,114014,text,para_3
20F,n,1,20,205,False,512,1051,0,0,1,114022,text,para_3
20F,n,1,20,205,False,512,1048,0,0,1,114030,text,para_3
20F,n,1,20,205,False,512,1047,0,0,1,114038,text,para_3
20F,n,1,20,205,False,512,1046,0,0,1,114054,text,para_3
20F,n,1,20,205,False,512,1045,0,0,1,114062,text,para_3
20F,n,1,20,205,False,512,1044,0,0,1,114078,text,para_3
20F,n,1,20,205,False,512,1043,0,0,1,114086,text,para_3
20F,n,1,20,205,False,512,1042,0,0,1,114254,text,para_3
20F,n,1,20,205,False,512,1041,0,0,1,114262,text,para_3
20F,n,1,20,205,False,512,1040,0,0,1,114286,text,para_3
20F,n,1,20,205,False,512,1039,0,0,1,114310,text,para_3
20F,n,1,20,205,False,512,1038,0,0,1,114326,text,para_3
20F,n,1,20,205,False,512,1037,0,0,1,114734,text,para_3
20F,n,1,20,205,False,512,1036,0,0,1,114750,text,para_3
20F,n,1,20,205,False,512,1036,0,0,1,114831,text,para_3
20F,n,1,20,205,False,512,1036,0,0,1,114833,text,para_3
20F,n,1,20,205,False,513,1036,0,0,1,114950,text,para_3
20F,n,1,20,205,False,514,1036,0,0,1,114966,text,para_3
20F,n,1,20,205,False,515,1036,0,0,1,114974,text,para_3
20F,n,1,20,205,False,517,1036,0,0,1,114985,text,para_3
20F,n,1,20,205,False,519,1036,0,0,1,114990,text,para_3
20F,n,1,20,205,False,520,1036,0,0,1,114998,text,para_3
20F,n,1,20,205,False,522,1037,0,0,1,115006,text,para_3
20F,n,1,20,205,False,525,1037,0,0,1,115014,text,para_3
20F,n,1,20,205,False,528,1038,0,0,1,115022,text,para_3
20F,n,1,20,205,False,530,1040,0,0,1,115035,text,para_3
20F,n,1,20,205,False,532,1041,0,0,1,115038,text,para_3
20F,n,1,20,205,False,536,1041,0,0,1,115046,text,para_3
20F,n,1,20,205,False,540,1043,0,0,1,115054,text,para_3
20F,n,1,20,205,False,542,1044,0,0,1,115062,text,para_3
20F,n,1,20,205,False,546,1045,0,0,1,115070,text,para_3
20F,n,1,20,205,False,549,1046,0,0,1,115078,text,para_3
20F,n,1,20,205,False,551,1047,0,0,1,115086,text,para_3
20F,n,1,20,205,False,553,1048,0,0,1,115094,text,para_3
20F,n,1,20,205,False,554,1049,0,0,1,115102,text,para_3
20F,n,1,20,205,False,556,1050,0,0,1,115110,text,para_3
20F,n,1,20,205,False,557,1050,0,0,1,115118,text,para_3
20F,n,1,20,205,False,558,1051,0,0,1,115126,text,para_3
20F,n,1,20,205,False,559,1051,0,0,1,115142,text,para_3
20F,n,1,20,205,False,559,1052,0,0,1,115166,text,para_3
20F,n,1,20,205,False,560,1052,0,0,1,115198,text,para_3
20F,n,1,20,205,False,560,1053,0,0,1,115222,text,para_3
20F,n,1,20,205,False,561,1054,0,0,1,115238,text,para_3
20F,n,1,20,205,False,561,1055,0,0,1,115246,text,para_3
20F,n,1,20,205,False,562,1055,0,0,1,115254,text,para_3
20F,n,1,20,205,False,562,1056,0,0,1,115270,text,para_3
20F,n,1,20,205,False,562,1057,0,0,1,115278,text,para_3
20F,n,1,20,205,False,563,1057,0,0,1,115294,text,para_3
20F,n,1,20,205,False,563,1058,0,0,1,115302,text,para_3
20F,n,1,20,205,False,564,1059,0,0,1,115310,text,para_3
20F,n,1,20,205,False,564,1060,0,0,1,115318,text,para_3
20F,n,1,20,205,False,565,1060,0,0,1,115326,text,para_3
20F,n,1,20,205,False,565,1061,0,0,1,115742,text,para_3
20F,n,1,20,205,False,566,1061,0,0,1,115750,text,para_3
20F,n,1,20,205,False,566,1062,0,0,1,115758,text,para_3
20F,n,1,20,205,False,566,1064,0,0,1,115766,text,para_3
20F,n,1,20,205,False,566,1065,0,0,1,115774,text,para_3
20F,n,1,20,205,False,567,1067,0,0,1,115782,text,para_3
20F,n,1,20,205,False,567,1070,0,0,1,115790,text,para_3
20F,n,1,20,205,False,567,1071,0,0,1,115798,text,para_3
20F,n,1,20,205,False,569,1073,0,0,1,115806,text,para_3
20F,n,1,20,205,False,569,1075,0,0,1,115818,text,para_3
20F,n,1,20,205,False,569,1077,0,0,1,115822,text,para_3
20F,n,1,20,205,False,569,1079,0,0,1,115830,text,para_3
20F,n,1,20,205,False,570,1082,0,0,1,115838,text,para_3
20F,n,1,20,205,False,572,1084,0,0,1,115846,text,para_3
