userId,type,country,orderNumber,experimentNumber,training, question,correctAnswer,userAnswer
2ML3603,n,4,3,14,False,Mental Demand - How mentally demanding was the task? Very Low - Very High,,5
2ML3603,n,4,3,14,False,Physical Demand - How physically demanding was the task? Very Low - Very High,,1
2ML3603,n,4,3,14,False,Temporal Demand - How hurried or rushed was the pace of the task? Very Low - Very High,,3
2ML3603,n,4,3,14,False,Performance - How successful were you in accomplishing what you were asked to do? Perfect - Failure),,4
2ML3603,n,4,3,14,False,Effort - How hard did you have to work to accomplish your level of performance? Very Low - Very High,,6
2ML3603,n,4,3,14,False,Frustration - How insecure discouraged irritated stressed and annoyed were you? Very Low - Very High,,4
2ML3603,n,4,3,14,False,Which of the following names was a previous name of Equatorial Guinea?,Spanish Guinea,Spanish Guinea
2ML3603,n,4,3,14,False,How is the largest geographical region of Equatorial Guinea called?,R??o Mun??,Malabo
2ML3603,n,4,3,14,False,What kind of forest ecoregion does Equatorial Guinea not have?,Tropical grassland forests,Tropical grassland forests
2ML3603,n,4,3,14,False,Which international newspaper reported that Equatorial Guinea's citizens are not benefiting from infrastructure improvements?,The Guardian,The Guardian
2ML3603,n,4,3,14,False,Which language is used in the official currency of Equatorial Guinea?,French,Spanish
2ML3603,n,4,3,14,False,Where is the traditional demarcation line between Fang and inland ethnic groups?,All of these answers,Inland in the R??o Mun?? region
2ML3603,n,4,3,14,False,Which percentage of the population comes from the Ndowe and Fernandinos ethnic groups (combined) in Equatorial Guinea?,Less than 10%,Between 30% and 40%
2ML3603,n,4,3,14,False,What effect has oil extraction had in the population of Malabo?,Doubling,Doubling
2ML3603,n,4,3,14,False,

