userId,type,country,orderNumber,experimentNumber,training, question,correctAnswer,userAnswer
MPS15,e,4,15,154,False,Mental Demand - How mentally demanding was the task? Very Low - Very High,,14
MPS15,e,4,15,154,False,Physical Demand - How physically demanding was the task? Very Low - Very High,,4
MPS15,e,4,15,154,False,Temporal Demand - How hurried or rushed was the pace of the task? Very Low - Very High,,10
MPS15,e,4,15,154,False,Performance - How successful were you in accomplishing what you were asked to do? Perfect - Failure),,13
MPS15,e,4,15,154,False,Effort - How hard did you have to work to accomplish your level of performance? Very Low - Very High,,12
MPS15,e,4,15,154,False,Frustration - How insecure discouraged irritated stressed and annoyed were you? Very Low - Very High,,7
MPS15,e,4,15,154,False,Which of the following names was a previous name of Equatorial Guinea?,Spanish Guinea,Nueva Guinea
MPS15,e,4,15,154,False,How is the largest geographical region of Equatorial Guinea called?,R??o Mun??,R??o Mun??
MPS15,e,4,15,154,False,What kind of forest ecoregion does Equatorial Guinea not have?,Tropical grassland forests,Tropical grassland forests
MPS15,e,4,15,154,False,Which international newspaper reported that Equatorial Guinea's citizens are not benefiting from infrastructure improvements?,The Guardian,The Guardian
MPS15,e,4,15,154,False,Which language is used in the official currency of Equatorial Guinea?,French,Spanish
MPS15,e,4,15,154,False,Where is the traditional demarcation line between Fang and inland ethnic groups?,All of these answers,Niefang
MPS15,e,4,15,154,False,Which percentage of the population comes from the Ndowe and Fernandinos ethnic groups (combined) in Equatorial Guinea?,Less than 10%,Less than 10%
MPS15,e,4,15,154,False,What effect has oil extraction had in the population of Malabo?,Doubling,Increased by 50%
MPS15,e,4,15,154,False,

